p,seed,method,evaluation,code,selected,fits,validation_acc,validation_normalized_margin,validation_mean_margin,relative_residual,bank_predicted_z,bank_candidates_scored
17,2015,random_full,1,102,False,60,1.0,1.0008628060057492,0.0011131870260597046,3.818616198685378e-14,,
17,2015,random_probe,0,0,False,11,1.0,1.2626415382368625,0.0017235824404922527,3.5763892972028636e-14,,
17,2015,random_probe,1,102,False,11,1.0,0.9887774565872368,0.0010989771540659856,3.4984186455002087e-14,,
17,2015,random_probe,2,42,False,11,1.0,1.0341705257956557,0.0015138169322089015,3.807288374025153e-14,,
17,2015,random_probe,3,62,False,11,1.0,0.878864263302447,0.0012557371494674359,3.9011065752742864e-14,,
17,2015,random_probe,4,39,False,11,1.0,1.3082550853265076,0.0015058581193883105,3.594364438104298e-14,,
17,2015,random_probe,5,71,True,11,1.0,1.4870265170417654,0.0018791457359658519,3.337670411118218e-14,,
17,2015,random_probe,6,3,False,11,1.0,1.369116299706599,0.0018895247515074338,3.780965442605547e-14,,
17,2015,random_probe,7,38,False,11,1.0,0.9628515001827157,0.0010682061043722723,3.3807276853839745e-14,,
17,2015,random_probe,8,86,False,11,1.0,1.1860385858972589,0.0014840681592737822,3.804920065860291e-14,,
17,2015,random_probe,9,47,False,11,1.0,1.237902244598471,0.0017114117562082448,3.6975546621422235e-14,,
17,2015,random_probe,10,19,False,11,1.0,1.3022319594924696,0.0018321716415247134,3.57542227864707e-14,,
17,2016,bank,0,66,True,0,,,,,2.2263794145345037,128
17,2016,greedy_probe,0,0,False,11,0.3333333333333333,-0.33484978500221185,-9.320033232081369e-05,3.602300354059263e-14,,
17,2016,greedy_probe,1,8,False,11,0.6666666666666666,0.10596665278200323,5.5230764150246414e-05,3.549557996819851e-14,,
17,2016,greedy_probe,2,40,False,11,0.6666666666666666,0.07148499307210589,2.371844576452148e-05,3.3295958262063155e-14,,
17,2016,greedy_probe,3,9,False,11,0.6666666666666666,0.108754289727813,5.724578466862149e-05,3.177705208127549e-14,,
17,2016,greedy_probe,4,25,False,11,0.8333333333333334,0.32457745257691367,0.0001602169429818385,3.6601070475688345e-14,,
17,2016,greedy_probe,5,89,False,11,1.0,1.2496309690855885,0.0006385577256648364,3.52940148589572e-14,,
17,2016,greedy_probe,6,91,False,11,1.0,1.9453744704025075,0.000997935175420829,3.748966328920166e-14,,
17,2016,greedy_probe,7,95,False,11,1.0,1.815404092768133,0.0009339146945179511,3.846249025736366e-14,,
17,2016,greedy_probe,8,83,False,11,1.0,1.3699922492919179,0.00048682886284213733,3.331030013757408e-14,,
17,2016,greedy_probe,9,123,False,11,1.0,1.2034171045097672,0.00040600033757393533,3.3970379586008606e-14,,
17,2016,greedy_probe,10,90,True,11,1.0,1.950860164181228,0.0009770295627677002,3.504193106331971e-14,,
17,2016,random_full,0,0,False,60,0.3333333333333333,-0.3076329802890845,-8.561654441887011e-05,3.811450172289591e-14,,
17,2016,random_full,1,116,True,60,1.0,1.5201239302430298,0.000822116835354221,3.3874341417829196e-14,,
17,2016,random_probe,0,0,False,11,0.3333333333333333,-0.33484978500221185,-9.320033232081369e-05,3.602300354059263e-14,,
17,2016,random_probe,1,116,False,11,1.0,1.5088739992930258,0.0008145982522882572,3.599024786675802e-14,,
17,2016,random_probe,2,91,True,11,1.0,1.9453744704025075,0.000997935175420829,3.748966328920166e-14,,
17,2016,random_probe,3,17,False,11,0.0,-0.7240086721119856,-0.000225634348349657,3.4213870293399867e-14,,
17,2016,random_probe,4,18,False,11,1.0,0.7711773202823426,0.00021703109618927824,3.5194438527015765e-14,,
17,2016,random_probe,5,65,False,11,1.0,1.160395592295131,0.00042506967651435396,3.478385775516422e-14,,
17,2016,random_probe,6,32,False,11,1.0,0.6234798242596453,0.00030659439946446643,3.646464446104496e-14,,
17,2016,random_probe,7,50,False,11,0.8333333333333334,0.19932151082220492,9.952024843670286e-05,3.494501547375894e-14,,
17,2016,random_probe,8,118,False,11,1.0,0.9014144576932647,0.00044915917262369764,3.6583842780816685e-14,,
17,2016,random_probe,9,43,False,11,0.0,-0.9560549919549479,-0.00031633657861902575,3.216225689011857e-14,,
17,2016,random_probe,10,39,False,11,0.8333333333333334,0.6649227136165646,0.0003188768807775161,3.899985904454512e-14,,
17,2017,bank,0,100,True,0,,,,,2.5897808269562548,128
17,2017,greedy_probe,0,0,False,11,1.0,1.3891799619384202,0.0014510591829585996,3.4433539934445247e-14,,
17,2017,greedy_probe,1,64,False,11,1.0,1.5625007299577192,0.0016404318213326663,3.842799483517131e-14,,
17,2017,greedy_probe,2,96,False,11,1.0,2.400876678441586,0.0018201886483998387,3.772867309819758e-14,,
17,2017,greedy_probe,3,97,False,11,1.0,0.9388571674701295,0.0006380312896586693,3.564135146151294e-14,,
17,2017,greedy_probe,4,104,False,11,1.0,1.3726211332298999,0.001492542316046117,3.833872384156572e-14,,
17,2017,greedy_probe,5,100,True,11,1.0,2.4192642485359097,0.0018074238009597524,3.716762077862589e-14,,
17,2017,greedy_probe,6,102,False,11,1.0,0.6609618788252049,0.00047789377590440096,3.894554683809229e-14,,
17,2017,greedy_probe,7,116,False,11,1.0,1.5177781442405973,0.0011206923424089664,3.425099394936836e-14,,
17,2017,greedy_probe,8,36,False,11,1.0,2.243047742962274,0.0016680766630523258,3.460987314672155e-14,,
17,2017,greedy_probe,9,68,False,11,1.0,1.564979822244329,0.0016334585110070836,3.810130113153058e-14,,
17,2017,greedy_probe,10,101,False,11,1.0,0.9429950157141009,0.0006549944625019571,3.599875382678386e-14,,
17,2017,random_full,0,0,True,60,1.0,1.398012403407839,0.0014621969735934385,3.9783437318353144e-14,,
17,2017,random_full,1,80,False,60,1.0,0.8626671523927821,0.0009264978601935767,3.749951572740863e-14,,
17,2017,random_probe,0,0,False,11,1.0,1.3891799619384202,0.0014510591829585996,3.4433539934445247e-14,,
17,2017,random_probe,1,80,False,11,1.0,0.8527696789672089,0.0009150480452766521,3.7710170645969334e-14,,
17,2017,random_probe,2,52,True,11,1.0,1.3904300585062417,0.0010204903973560983,3.694966215370941e-14,,
17,2017,random_probe,3,49,False,11,0.0,-0.3645298052479959,-0.0002454977368317619,3.634984862348654e-14,,
17,2017,random_probe,4,106,False,11,1.0,1.0153956506824848,0.000982108368379038,3.5854696959543855e-14,,
17,2017,random_probe,5,23,False,11,0.3333333333333333,0.009157608997201583,5.89760556315988e-06,3.58946317207311e-14,,
17,2017,random_probe,6,16,False,11,1.0,0.7050000482951065,0.0007568912781178461,4.203569186298602e-14,,
17,2017,random_probe,7,50,False,11,0.3333333333333333,-0.15094564040063832,-0.00010675719721709119,3.363518600564061e-14,,
17,2017,random_probe,8,17,False,11,0.0,-0.5273374149063553,-0.00045237394583632723,3.491201358247682e-14,,
