phase,name,p,seed,variant,view,test_a,truth,rtol,event,previous_step,step,old_classes,new_classes,previous_margin,current_margin,previous_tolerance,current_tolerance,current_normalized_margin
discovery,p17_s20_diag,17,20,diag,point,11,5,1e-08,leader_group_replaced,2,3,3,11,3.784465570089157e-08,-6.991712153681107e-09,3.0982250523219044e-10,3.0749767534136245e-10,-2.273744718856621e-07
discovery,p17_s20_diag,17,20,diag,point,11,5,1e-08,leader_group_replaced,5,6,11,4,4.641151791912046e-07,-7.15398734696393e-09,2.530230722532488e-10,1.237726005708857e-10,-5.779944280048294e-07
discovery,p17_s20_diag,17,20,diag,point,11,5,1e-08,leader_group_replaced,6,7,4,7,7.15398734696393e-09,-6.978765225429395e-07,1.237726005708857e-10,1.875785767335443e-11,-0.00037204489696831123
discovery,p17_s20_diag,17,20,diag,point,12,7,1e-08,wrong_to_correct,10,11,7,7,-3.0711733306071354e-06,2.7954865775003945e-07,2.0086016892456723e-14,2.1265165931668584e-14,0.13145848880197497
discovery,p17_s20_diag,17,20,diag,point,12,7,1e-08,leader_group_replaced,0,1,9,1,1.4416509620487905e-05,-2.2160560292916465e-06,3.1009507049534864e-10,3.10417391196908e-10,-7.138955780624833e-05
discovery,p17_s20_diag,17,20,diag,point,12,7,1e-08,leader_group_replaced,1,2,1,12,2.2160560292916465e-06,-2.904640364023714e-06,3.10417391196908e-10,3.0982294083323737e-10,-9.375162330497472e-05
discovery,p17_s20_diag,17,20,diag,point,12,7,1e-08,leader_group_replaced,3,4,12,15,4.023565993577227e-07,-4.911234327553693e-08,3.074980326658192e-10,2.9730614151655423e-10,-1.6519114951684345e-06
discovery,p17_s20_diag,17,20,diag,point,12,7,1e-08,leader_group_replaced,7,8,15,1,2.2987804901286601e-07,-3.2838575345084386e-08,1.8748937691176026e-11,1.5157427272247327e-12,-0.00021665006043083954
discovery,p17_s20_diag,17,20,diag,point,12,7,1e-08,leader_group_replaced,10,11,1,7,5.232130241561439e-08,-2.7954865775003945e-07,2.0086016892456723e-14,2.1265165931668584e-14,-0.13145848880197497
discovery,p17_s20_diag,17,20,diag,point,13,9,1e-08,leader_group_replaced,0,1,0,10,5.171012166793609e-07,-2.693962433478192e-06,3.1010269204340064e-10,3.1041655760532e-10,-8.67853974755895e-05
discovery,p17_s20_diag,17,20,diag,point,13,9,1e-08,leader_group_replaced,2,3,10,2,1.360702156782967e-07,-4.88372380230695e-07,3.0982227854288366e-10,3.074975557055978e-10,-1.588215487144454e-05
discovery,p17_s20_diag,17,20,diag,point,13,9,1e-08,leader_group_replaced,3,4,2,0,6.092191588702445e-08,-5.9350685671644143e-08,3.074975557055978e-10,2.9730627719173857e-10,-1.996280947454323e-06
discovery,p17_s20_diag,17,20,diag,point,13,9,1e-08,leader_group_replaced,4,5,0,4,5.9350685671644143e-08,-1.608470112518523e-07,2.9730627719173857e-10,2.5302352627812945e-10,-6.356998245097788e-06
